test_task,feature_set,n_obs,pinball_loss,coverage_90
2,full,744,2.6007090030529034,0.8844086021505376
3,full,720,3.029962989958517,0.8319444444444445
4,full,744,4.37372898930854,0.8077956989247311
5,full,744,3.677577881578808,0.8575268817204301
6,full,672,3.246122691586202,0.8854166666666666
7,full,744,3.199203087224374,0.8508064516129032
8,full,720,2.9338329095867457,0.7666666666666667
9,full,744,2.7469716220450793,0.8077956989247311
10,full,720,4.500412884746724,0.75
11,full,744,3.3717672727904233,0.8494623655913979
12,full,744,8.118292282822194,0.728494623655914
13,full,720,3.455531924443248,0.8291666666666667
14,full,744,2.73772862475302,0.8131720430107527
15,full,720,3.096424508112409,0.8097222222222222
